Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
TA-2,5.7,27.481,342.235,184.7,-36.8,4.9,1,0,0,0
FN-Q10,2.55,-4.125,327.62,173.5,23.8,3.1,1,0,0,0
FN-Q11,2.55,-4.127,327.62,173.8,24.1,2.8,1,0,0,0
FN-Q12,2.55,-4.127,327.62,172.5,17.8,2.8,1,0,0,0
FN-Q13,2.55,-4.128,327.62,172.6,19,2.9,1,0,0,0
FN-Q14,2.55,-4.128,327.62,168.8,15.5,2,1,0,0,0
FN-Q15,2.55,-4.124,327.62,189.5,25.2,3.2,1,0,0,0
FN-Q16,2.55,-4.124,327.611,171.6,13,2.3,1,0,0,0
FN-Q5,2.55,-4.115,327.62,169,23.6,4.8,1,0,0,0
FN-Q6,2.55,-4.124,327.622,172.4,15.5,4.4,1,0,0,0
FN-Q7,2.55,-4.124,327.622,175.6,20.8,2.8,1,0,0,0
FN-Q8,2.55,-4.124,327.622,171.4,21.2,3.9,1,0,0,0
FN-Q9,2.55,-4.124,327.622,170.4,20.1,3.4,1,0,0,0
FN-R16,10,-4.85,327.967,173,-23.7,5.9,1,0,0,0
FN-R17,10,-4.85,327.968,172.7,15.1,5,1,0,0,0
FN-R4,10,-4.826,327.97,157.5,30,6.9,1,0,0,0
FN-R8,10,-4.855,327.959,187.3,24.8,4.3,1,0,0,0
51,0.875,45.547,237.577,190.7,-49.9,1.8,1,0,0,0
52,0.88,45.775,238.047,177.5,-67.5,2.4,1,0,0,0
53,0.935,45.767,237.973,169.9,-32.9,3.6,1,0,0,0
54,0.951,45.719,238.125,172.7,-67.9,3.2,1,0,0,0
69,1.16,45.793,238.055,179.6,-57.1,5.2,1,0,0,0
70,1.2,45.696,237.856,188.9,-53.6,1.9,1,0,0,0
76,1.23,45.565,237.699,162.1,-55.3,2.7,1,0,0,0
77,1.29,45.55,237.666,159.6,-62,6.7,1,0,0,0
79,1.3,45.723,237.836,199.7,-54.2,2.1,1,0,0,0
80,1.39,45.697,238.087,183.1,-50.3,4.6,1,0,0,0
84,1.46,45.707,238.063,177.9,-57.5,3.4,1,0,0,0
85,1.51,45.778,238.108,186.9,-50.3,2.5,1,0,0,0
100,1.69,45.777,238.253,195.7,-63.5,3.8,1,0,0,0
101,1.7,45.779,238.255,211.7,-57.6,2.7,1,0,0,0
103,1.98,45.455,238.178,175.7,-76.7,3.1,1,0,0,0
109,2.3,45.885,238.293,170.6,-60.9,3.1,1,0,0,0
113,2.53,45.625,237.922,173.7,-55,6.2,1,0,0,0
114,2.58,45.819,238.394,175.2,-64,1.4,1,0,0,0
063:064:065:066,1.15,45.605,237.465,160.1,-66.5,3.3,1,0,0,0
067:068,1.15,45.676,237.406,190.5,-45.2,1.4,1,0,0,0
071:075,1.23,45.79,237.9,187.2,-63,4,1,0,0,0
081:082:083,1.42,45.67,237.984,187.6,-60.9,3.2,1,0,0,0
086:087,1.51,45.731,238.103,186.5,-48.2,2.2,1,0,0,0
088:089:090:091:092:093:094,1.59,45.665,237.708,186.1,-52.9,3.1,1,0,0,0
096:097,1.63,45.681,237.77,189.4,-62.1,5.5,1,0,0,0
098:099,1.69,45.765,238.248,199.7,-62,4.6,1,0,0,0
104:105,2.24,45.827,238.235,170.1,-57.7,3.4,1,0,0,0
106:107:108,2.29,45.853,238.199,183.4,-57.8,2.5,1,0,0,0
117:118,2.6,45.604,237.914,179.4,-58.1,4.1,1,0,0,0
119:120,2.61,45.618,238.012,202,-55.7,3.8,1,0,0,0
123:124,2.62,45.763,237.968,175,-53.4,2.5,1,0,0,0
PT10,2.5,-52.009,289.326,175.5,76.5,2.3,1,0,0,0
PT14,1.79,-51.831,289.735,200.5,68,3.5,1,0,0,0
PT15,2.5,-51.88,289.698,170.4,55.1,2.7,1,0,0,0
PT16,2.5,-51.87,289.698,149.8,73.1,4.3,1,0,0,0
PT4,2.5,-52.099,289.425,142.1,60.5,2.8,1,0,0,0
PT44,4.08,-49.767,287.653,179.3,52.8,1.7,1,0,0,0
PT45,4.08,-49.767,287.653,180,58.3,2.7,1,0,0,0
PT46,2.5,-49.663,287.729,184.3,56.9,2.1,1,0,0,0
PT5,2.5,-51.84,289.658,196.8,66,3.8,1,0,0,0
PT6,8.67,-52.452,288.846,217.7,59.1,1.3,1,0,0,0
PT7,1.14,-51.956,289.198,186.4,60.4,2,1,0,0,0
PT8,2.5,-52.028,289.255,185.5,60.6,3.5,1,0,0,0
6,4.14,23.135,258.481,189,-37.1,2.5,1,0,0,0
8,2.39,19.143,260.538,187.5,-36.4,4.3,1,0,0,0
9,1.28,19.399,260.787,182.8,-33.7,3.8,1,0,0,0
10,2.39,19.486,260.888,184.5,-37.7,3.7,1,0,0,0
12,1.43,19.379,260.827,161.2,-43.1,3.6,1,0,0,0
13,2.29,19.424,260.888,166.9,-47.8,3.3,1,0,0,0
14,2.39,19.362,260.938,185.7,-42.1,3.5,1,0,0,0
18,1.49,19.275,260.304,177.7,-16.7,2,1,0,0,0
19,1.69,19.419,260.753,186.1,-24.4,2.5,1,0,0,0
20,2.61,19.518,260.847,182.6,-41.3,3,1,0,0,0
EN,0.671,20.959,256.307,210.3,-33,6.1,1,0,0,0
AW,0.815,19.527,257.987,164.8,-24.1,5.3,1,0,0,0
BZ,1.32,19.132,260.016,194.1,-19.3,4.3,1,0,0,0
1,2.63,-39.012,144.378,163,49.2,1.7,1,0,0,0
